date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-11-21,ZA,122,Omicron BA.2,Community,1.1008884267352455,2021-11-08,13,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,122,Omicron BA.2,Community,1.1008884267352455,2021-11-08,13,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,122,Omicron BA.2,Community,1.1008884267352455,2021-11-08,13,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-21,ZA,122,Omicron BA.2,Community,1.1008884267352455,2021-11-08,13,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,123,Omicron BA.2,Community,1.1082893268675704,2021-11-08,15,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,123,Omicron BA.2,Community,1.1082893268675704,2021-11-08,15,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,123,Omicron BA.2,Community,1.1082893268675702,2021-11-08,15,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,123,Omicron BA.2,Community,1.1082893268675704,2021-11-08,15,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,124,Omicron BA.2,Community,1.0359860906567568,2021-11-08,14,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,124,Omicron BA.2,Community,1.0359860906567568,2021-11-08,14,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,124,Omicron BA.2,Community,1.0359860906567568,2021-11-08,14,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,124,Omicron BA.2,Community,1.0359860906567568,2021-11-08,14,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,125,Omicron BA.2,Community,1.316101559531067,2021-11-08,18,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,125,Omicron BA.2,Community,1.316101559531067,2021-11-08,18,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,125,Omicron BA.2,Community,1.3161015595310672,2021-11-08,18,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,125,Omicron BA.2,Community,1.316101559531067,2021-11-08,18,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,126,Omicron BA.2,Community,1.3541040300649971,2021-11-08,18,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,126,Omicron BA.2,Community,1.3541040300649971,2021-11-08,18,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,126,Omicron BA.2,Community,1.3541040300649974,2021-11-08,18,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,126,Omicron BA.2,Community,1.3541040300649971,2021-11-08,18,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
